X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y,Ya,Yb,Yc
80,Spoon ,35,4,4,71,80,0,0,0,36,9,1,1,1,1
87,Spoon ,28,2.7,18,60,10,0,0,0,10.96215129,9,0,0,0,0
81,Spoon ,35,2.2,2,20,14,0,0,0,6,4.29,1,1,1,1
88.25,Spoon ,27.20972268,2.2,7.278730405,49.91434201,57.17080264,0,0,0,8.38402469,9,0,0,0,0
106.75,Spoon ,28,1.4,6.622855702,62,99,0,0,0,8,9,1,1,1,1
94.25,Fork ,27.41894811,3.3,13,47,56,0,0,0,9.583017139,9,0,0,0,0
83.75,Spoon ,35,3.985384869,3.885287341,43.44154568,23.95470239,0,0,0,24.71977732,9,1,1,1,1
94.5,Spoon ,28.41205216,3.233201176,3.567675574,43.44742928,19.71629845,0,0,0,17,9,1,1,1,1
103.5,Spoon ,41,3.407942359,8.072833018,60.32829711,71.91726519,0,0,0,12,9,1,0,1,1
92,Spoon ,30,3.332046867,3.136173189,30,4.8,0,0,0,18.3239554,9,1,1,1,1
72,Fork ,37,3.7,8,87,169.9,0,0,0,30,9,1,1,1,1
93.25,Spoon ,28,4,3,52,16,0,0,0,0,11.3,1,0,1,1
90.5,Spoon ,28,3.361654111,5.453287377,47.37322092,36.37584663,0,0,0,11.8679008,9,0,0,0,0
100,Spoon ,25,3.4,6.358052222,60,98,0,0,0,10,9,0,0,0,0
85.5,Fork ,35,5.4,5,43,53,0,0,0,24.87562653,9,1,1,1,1
64.75,Fork ,28,4,67,48,64.17469623,0,0,0,14.1255691,9,1,1,1,1
81.75,Fork ,25,3.097834928,6.016456713,62.40580415,80.03664866,0,0,0,9,9,1,1,1,1
76.75,Spoon ,26,4.058287714,3.586889389,28.41358441,11.27478284,0,0,0,16,9,1,1,1,1
78.75,Spoon ,27.9638059,2.891294382,3.75687722,35.25713904,27.64162043,0,0,0,19.21063393,9,1,1,1,1
96.5,Fork ,28,3.306302577,5.952926015,60.24055332,75.44329274,0,0,0,15,9,0,0,0,0
115.25,Fork ,27,3.054795182,6.447968793,61.81370347,84.77914615,0,0,0,1.358731787,9,1,1,1,1
74.25,Fork ,30.03699216,2,6,84,163,0,0,0,13,9,0,0,0,0
93.75,Fork ,27.96917305,3.53145846,6.005222475,60.71702217,71.31380505,0,0,0,10.26879897,9,1,1,1,1
94.5,Spoon ,26,3.355946774,5.35735827,43.43218098,24.820375,0,0,0,10,9,1,1,1,1
87.5,Spoon ,28,2,6,69,42,0,0,0,15.07711412,9,1,1,1,1
84.25,Spoon ,28.30404148,9.87,8.792340233,9.41,26.9,0,0,0,19,9,1,1,1,1
88,Spoon ,30,3.690096398,4.044169983,50.40708512,41.43887989,0,0,0,18,9,0,0,0,0
90.75,Fork ,28,4,5,56,64,0,0,0,15,9,0,0,0,0
93.75,Spoon ,25,1.5,9,64,67,0,0,0,10.48114231,9,0,0,0,0
97.25,Spoon ,24,3.363106708,6.818106237,53.51746898,55.90072611,0,0,0,8.015262168,9,0,0,0,0
87,Spoon ,27.94744242,5.6,3.5,45,31,0,0,0,12,9,0,0,0,0
77.5,Spoon ,33.20444517,3.88234767,5.18863907,47.53411829,32.58752772,0,0,0,40,9,0,0,0,0
91.5,Fork ,26,3,4,70,39,0,0,0,11,9,0,0,0,0
86.5,Spoon ,30,3.323553045,5.158381536,10,27.08492472,0,0,0,21,9,0,0,0,0
